# Model: Name of the sea ice forecast model
# Ensemble member: Name of the ensemble member. Only relevant for IceNet models - for SEAS5 and the linear trend model this is 'NA'. IceNet's temperature-scaled ensemble mean is labelled 'ensemble_tempscaled'. The non-temperature-scaled ensemble mean is labelled 'ensemble'
# Leadtime: Lead time of the forecast (number of months)
# Forecast date: Monthly-average target forecast date (day set to 01 by default)
# Binary accuracy: Percentage of grid cells with the correct binary prediction for SIC > 15% from the model, computed within a maximum sea ice climatology mask (%)
# SIE error: Sea ice extent (area covered by grid cells with SIC > 15%) error between model and OSI-SAF ground truth (km2)
#
Model,Ensemble member,Leadtime,Forecast date,Binary accuracy,SIE error
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-01-01,96.92559,57500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-02-01,96.46002,-16250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-03-01,96.31853000000001,-400625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-04-01,96.77914399999999,-135625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-05-01,96.8483,-98750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-06-01,94.62413000000001,123750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-07-01,93.18614000000001,-475000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-08-01,92.539055,-281250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-09-01,94.09713,98750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-10-01,88.146355,-1119375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-11-01,95.01507,-412500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2012-12-01,96.6627,-255625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-01-01,97.20398,-296250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-02-01,97.17099,10625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-03-01,96.69292,-94375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-04-01,97.12799,-11875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-05-01,96.00676,-206875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-06-01,96.3073,-116875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-07-01,94.07509,216875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-08-01,95.34156999999999,-191875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-09-01,92.82182,-34375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-10-01,93.62055,-420000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-11-01,95.51199,-135625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2013-12-01,96.414635,-135000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-01-01,96.28711,-196875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-02-01,95.927536,38125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-03-01,96.81177,-121875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-04-01,96.58667,-21875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-05-01,97.374664,-41250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-06-01,95.73891,-72500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-07-01,93.76086,-239375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-08-01,93.187225,-521875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-09-01,93.69632,-654375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-10-01,90.0801,-958125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-11-01,95.65677,-258750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2014-12-01,97.906334,-173125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-01-01,96.62299,-1250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-02-01,97.26618,104375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-03-01,96.7672,133750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-04-01,96.92950400000001,-94375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-05-01,97.8198,54375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-06-01,96.03227,-25000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-07-01,94.244606,-171250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-08-01,92.37585,-593125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-09-01,94.89876,-361250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-10-01,93.86700400000001,-653750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-11-01,95.13245,-330000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2015-12-01,96.28233,117500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-01-01,96.31434,223750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-02-01,95.859116,-33750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-03-01,97.64670600000001,-126250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-04-01,97.84374,129375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-05-01,96.72483000000001,183750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-06-01,96.0176,-37500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-07-01,92.8471,-500000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-08-01,92.016785,-655000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-09-01,92.54073000000001,-670625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-10-01,94.42154000000001,96875.0
